"RECORD #(BIBLIO)"	"RECORD #(ITEM)"	"CALL #(ITEM)"	"CALL #(BIBLIO)"	"CREATED(ITEM)"	"ICODE1"	"ICODE2"	"IMESSAGE"	"COPY #"	"INTL USE "	"BARCODE(ITEM)"	"PROBLEM"	"STAFF NOTE"	"INVC NOTE"	"ILL NOTE"	"SUPERVISOR(ITEM)"	"RESV NOTE"	"RESV HIST"	"BILL NOTE"	"REPAIRNOTE"	"VOLUME"	"WORK STATS"	"SYST NOTE(ITEM)"	"NOTIS ITEM"	"CRL/ARCHVE"	"BIND NOTE"	"PRSERVTION"	"LCHKIN"	"STATUS"	"TOT CHKOUT"	"TOT RENEW"	"UPDATED(ITEM)"	"LOCATION"	"I TYPE"	"MAT TYPE"
"['18006871', 'oai:DiVA.org:kth-168252']"	"i10001037"	""	"['HD8008.A1 P8 no.59', 'HD8008.A1 P8']"	"06-12-98"	"0"	"-"	"-"	"1"	"0"	"1-6073090204"	""	""	""	""	""	""	""	""	""	"no.59"	""	""	""	""	""	""	"  -  -  "	"-  "	"1"	"0"	""	"jnlDesk  "	"0"	"a  "
"['18006871', 'oai:DiVA.org:kth-168252']"	"i10001038"	""	"['HD8008.A1 P8 no.59', 'HD8008.A1 P8']"	"06-12-98"	"0"	"-"	"-"	"2"	"0"	"2-6073090204"	""	""	""	""	""	""	""	""	""	"no.59"	""	""	""	""	""	""	"  -  -  "	"-  "	"1"	"0"	""	"jnlDesk  "	"0"	"a  "
"['18006871', 'oai:DiVA.org:kth-29665']"	"i1000242x"	""	"['HV4043 .W53 no.553', 'HV4043 .W53']"	"06-12-98"	"0"	"-"	"-"	"1"	"0"	"6086090202"	""	""	""	""	""	""	""	""	""	"no.553"	""	""	""	""	""	""	"  -  -  "	"-  "	"1"	"0"	""	"jnlDesk  "	"0"	"a  "
"['18006871', 'oai:DiVA.org:kth-133285']"	"i1000001x"	""	"['P25 .T74 no.12', 'P25 .T74']"	"06-12-98"	"0"	"-"	"-"	"1"	"0"	"6042070403"	""	""	""	""	""	""	""	""	""	"no.12"	""	""	""	""	""	""	""	"-  "	"7"	"0"	""	"jnlDesk  "	"0"	"a  "
"['18006871', 'oai:DiVA.org:kth-141277']"	"i10000914"	""	"['M2 .D36 Bd.129', 'M2 .D36']"	"06-12-98"	"0"	"-"	"-"	"1"	"0"	"31293009401336"	""	""	""	""	""	""	""	""	""	"Bd.129"	""	""	""	""	""	""	"  -  -  "	"o  "	"0"	"0"	""	"jnlDesk"	"199"	"c  "
"['18006871', 'oai:DiVA.org:kth-166546']"	"i10001013"	""	"['HD8008.A1 P8 no.60', 'HD8008.A1 P8']"	"06-12-98"	"0"	"-"	"-"	"1"	"0"	"6073090103"	""	""	""	""	""	""	""	""	""	"no.60"	""	""	""	""	""	""	"  -  -  "	"-  "	"1"	"0"	""	"jnlDesk"	"0"	"a  "
"['18006871', 'oai:DiVA.org:kth-182754']"	"i10002844"	""	"['SB13 .A25 no.103', 'SB13 .A25']"	"06-12-98"	"0"	"-"	"-"	"1"	"0"	"6035050203"	""	""	""	""	""	""	""	""	""	"no.103"	""	""	""	""	""	""	"  -  -  "	"-  "	"0"	"0"	""	"maps  "	"0"	"a  "
"['18006871', 'oai:DiVA.org:kth-211821']"	"i10002881"	""	"['SB13 .A25 no.104', 'SB13 .A25']"	"06-12-98"	"0"	"-"	"-"	"1"	"0"	"6035050205"	""	""	""	""	"Return to Remote Storage."	""	""	""	""	"no.104"	""	""	""	""	""	""	"  -  -  "	"-  "	"1"	"0"	""	"maps  "	"0"	"a  "
"['18006871', 'oai:DiVA.org:kth-166470']"	"i10002911"	""	"['SB13 .A25 no.89', 'SB13 .A25']"	"06-12-98"	"0"	"-"	"-"	"1"	"0"	"6035010204"	""	""	""	""	"Return to Remote Storage."	""	""	""	""	"no.89"	""	""	""	""	""	""	"  -  -  "	"-  "	"0"	"0"	""	"jnlDesk  "	"0"	"a  "
"['18006871']"	"i100029199"	""	"['Thesis']"	"06-12-98"	"0"	"-"	"-"	"1"	"0"	"Actual thesis"	""	""	""	""	"Return to Remote Storage."	""	""	""	""	"no.89"	""	""	""	""	""	""	"  -  -  "	"-  "	"0"	"0"	""	"jnlDesk  "	"0"	"a  "
